Time [s],RX_CHIP_AP_FALA,TX_CHIP_PC_FALA,TX_SIMU,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,1,1,1,1,1,1,1,1
1.753188000,1,0,0,0,1,1,1,1
1.753190000,1,0,0,1,1,1,1,1
1.753294000,1,1,1,1,1,1,1,1
1.753398000,1,0,0,1,1,1,1,1
1.753502000,1,1,1,1,1,1,1,1
1.753710000,1,0,0,1,1,1,1,1
1.754126000,1,1,1,1,1,1,1,1
1.754230000,1,0,0,1,1,1,1,1
1.754544000,1,1,1,1,1,1,1,1
1.754648000,1,0,0,1,1,1,1,1
1.754960000,1,1,1,1,1,1,1,1
1.755064000,1,0,0,0,1,1,1,1
1.755066000,1,0,0,1,1,1,1,1
1.755170000,1,1,1,1,1,1,1,1
1.771910000,0,1,1,1,1,1,1,1
1.772016000,1,1,1,1,1,1,1,1
1.772118000,0,1,1,1,1,1,1,1
1.772848000,1,1,1,1,1,1,1,1
1.773056000,0,1,1,1,1,1,1,1
1.773162000,1,1,1,1,1,1,1,1
1.773264000,0,1,1,1,1,1,1,1
1.773578000,1,1,1,1,1,1,1,1
1.880830000,1,0,0,1,1,1,1,1
1.880934000,1,1,1,1,1,1,1,1
1.881038000,1,0,0,1,1,1,1,1
1.881142000,1,1,1,1,1,1,1,1
1.881350000,1,0,0,1,1,1,1,1
1.881766000,1,1,1,1,1,1,1,1
1.881870000,1,0,0,1,1,1,1,1
1.881974000,1,1,1,1,1,1,1,1
1.882286000,1,0,0,1,1,1,1,1
1.882390000,1,1,1,1,1,1,1,1
1.882494000,1,0,0,1,1,1,1,1
1.882598000,1,1,1,1,1,1,1,1
1.882702000,1,0,0,1,1,1,1,1
1.882806000,1,1,1,1,1,1,1,1
1.899418000,0,1,1,1,1,1,1,1
1.899524000,1,1,1,1,1,1,1,1
1.899626000,0,1,1,1,1,1,1,1
1.900358000,1,1,1,1,1,1,1,1
1.900564000,0,1,1,1,1,1,1,1
1.901190000,1,1,1,1,1,1,1,1
1.957390000,1,0,0,0,1,1,1,1
1.957392000,1,0,0,1,1,1,1,1
1.957496000,1,1,1,1,1,1,1,1
1.957600000,1,0,0,1,1,1,1,1
1.957704000,1,1,1,1,1,1,1,1
1.957910000,1,0,0,0,1,1,1,1
1.957912000,1,0,0,1,1,1,1,1
1.958328000,1,1,1,1,1,1,1,1
1.958432000,1,0,0,1,1,1,1,1
1.958536000,1,1,1,1,1,1,1,1
1.958640000,1,0,0,1,1,1,1,1
1.958744000,1,1,1,1,1,1,1,1
1.958848000,1,0,0,0,1,1,1,1
1.958850000,1,0,0,1,1,1,1,1
1.959162000,1,1,1,1,1,1,1,1
1.959266000,1,0,0,1,1,1,1,1
1.959372000,1,1,1,1,1,1,1,1
1.975986000,0,1,1,1,1,1,1,1
1.976092000,1,1,1,1,1,1,1,1
1.976194000,0,1,1,1,1,1,1,1
1.976924000,1,1,1,1,1,1,1,1
1.977132000,0,1,1,1,1,1,1,1
1.977238000,1,1,1,1,1,1,1,1
1.977444000,0,1,1,1,1,1,1,1
1.977550000,1,1,1,1,1,1,1,1
1.977652000,0,1,1,1,1,1,1,1
1.977758000,1,1,1,1,1,1,1,1
2.036046000,1,0,0,1,1,1,1,1
2.036150000,1,1,1,1,1,1,1,1
2.036254000,1,0,0,1,1,1,1,1
2.036360000,1,1,1,1,1,1,1,1
2.036568000,1,0,0,1,1,1,1,1
2.036984000,1,1,1,1,1,1,1,1
2.037088000,1,0,0,1,1,1,1,1
2.037610000,1,1,1,1,1,1,1,1
2.037816000,1,0,0,1,1,1,1,1
2.038026000,1,1,1,1,1,1,1,1
2.038130000,1,0,0,1,1,1,1,1
2.038442000,1,1,1,1,1,1,1,1
2.038650000,1,0,0,1,1,1,1,1
2.039068000,1,1,1,1,1,1,1,1
2.039170000,1,0,0,1,1,1,1,1
2.039276000,1,1,1,1,1,1,1,1
2.039484000,1,0,0,1,1,1,1,1
2.039796000,1,1,1,1,1,1,1,1
2.039900000,1,0,0,1,1,1,1,1
2.040108000,1,1,1,1,1,1,1,1
2.040212000,1,0,0,1,1,1,1,1
2.040420000,1,1,1,1,1,1,1,1
2.040524000,1,0,0,1,1,1,1,1
2.040630000,1,1,1,1,1,1,1,1
2.040734000,1,0,0,1,1,1,1,1
2.041150000,1,1,1,1,1,1,1,1
2.041254000,1,0,0,1,1,1,1,1
2.041462000,1,1,1,1,1,1,1,1
2.041670000,1,0,0,0,1,1,1,1
2.041672000,1,0,0,1,1,1,1,1
2.042192000,1,1,1,1,1,1,1,1
2.042296000,1,0,0,1,1,1,1,1
2.042714000,1,1,1,1,1,1,1,1
2.042924000,1,0,0,1,1,1,1,1
2.043236000,1,1,1,1,1,1,1,1
2.043490000,0,1,1,1,1,1,1,1
2.043596000,1,1,1,1,1,1,1,1
2.043698000,0,1,1,1,1,1,1,1
2.043804000,1,1,1,1,1,1,1,1
2.044010000,0,1,1,1,1,1,1,1
2.044430000,1,1,1,1,1,1,1,1
3.833720000,1,0,0,1,1,1,1,1
3.833824000,1,1,1,1,1,1,1,1
3.833928000,1,0,0,0,1,1,1,1
3.833930000,1,0,0,1,1,1,1,1
3.834034000,1,1,1,1,1,1,1,1
3.834242000,1,0,0,1,1,1,1,1
3.834658000,1,1,1,1,1,1,1,1
3.834762000,1,0,0,1,1,1,1,1
3.835076000,1,1,1,1,1,1,1,1
3.835178000,1,0,0,0,1,1,1,1
3.835180000,1,0,0,1,1,1,1,1
3.835492000,1,1,1,1,1,1,1,1
3.835596000,1,0,0,1,1,1,1,1
3.835700000,1,1,1,1,1,1,1,1
3.852464000,0,1,1,1,1,1,1,1
3.852570000,1,1,1,1,1,1,1,1
3.852672000,0,1,1,1,1,1,1,1
3.853404000,1,1,1,1,1,1,1,1
3.853610000,0,1,1,1,1,1,1,1
3.854134000,1,1,1,1,1,1,1,1
3.958224000,1,0,0,1,1,1,1,1
3.958328000,1,1,1,1,1,1,1,1
3.958432000,1,0,0,1,1,1,1,1
3.958536000,1,1,1,1,1,1,1,1
3.958744000,1,0,0,1,1,1,1,1
3.959160000,1,1,1,1,1,1,1,1
3.959264000,1,0,0,1,1,1,1,1
3.959370000,1,1,1,1,1,1,1,1
3.959682000,1,0,0,1,1,1,1,1
3.959786000,1,1,1,1,1,1,1,1
3.959890000,1,0,0,1,1,1,1,1
3.959994000,1,1,1,1,1,1,1,1
3.960098000,1,0,0,1,1,1,1,1
3.960202000,1,1,1,1,1,1,1,1
3.976848000,0,1,1,1,1,1,1,1
3.976954000,1,1,1,1,1,1,1,1
3.977056000,0,1,1,1,1,1,1,1
3.977786000,1,1,1,1,1,1,1,1
3.977994000,0,1,1,1,1,1,1,1
3.978620000,1,1,1,1,1,1,1,1
4.036348000,1,0,0,1,1,1,1,1
4.036452000,1,1,1,1,1,1,1,1
4.036556000,1,0,0,1,1,1,1,1
4.036660000,1,1,1,1,1,1,1,1
4.036868000,1,0,0,1,1,1,1,1
4.037284000,1,1,1,1,1,1,1,1
4.037388000,1,0,0,1,1,1,1,1
4.037492000,1,1,1,1,1,1,1,1
4.037596000,1,0,0,1,1,1,1,1
4.037700000,1,1,1,1,1,1,1,1
4.037804000,1,0,0,1,1,1,1,1
4.038118000,1,1,1,1,1,1,1,1
4.038222000,1,0,0,1,1,1,1,1
