Time [s],Reb PC,Env PC
0.000000000,1,1
2.658166000,1,0
2.658270000,1,1
2.658376000,1,0
2.658480000,1,1
2.658688000,1,0
2.659104000,1,1
2.669216000,1,0
2.669320000,1,1
2.669424000,1,0
2.669946000,1,1
2.670050000,1,0
2.670154000,1,1
2.670258000,1,0
2.670362000,1,1
2.670466000,1,0
2.670884000,1,1
2.670988000,1,0
2.671196000,1,1
2.671438000,0,1
2.671542000,1,1
2.671750000,0,1
2.672064000,1,1
2.672166000,0,1
2.672376000,1,1
2.680358000,1,0
2.681086000,1,1
2.681190000,1,0
2.681294000,1,1
2.689044000,0,1
2.689148000,1,1
2.689252000,0,1
2.689356000,1,1
2.689564000,0,1
2.689982000,1,1
2.691188000,1,0
2.691294000,1,1
2.691398000,1,0
2.691502000,1,1
2.691710000,1,0
2.692126000,1,1
2.692230000,1,0
2.692438000,1,1
2.692542000,1,0
2.692958000,1,1
2.693064000,1,0
2.693168000,1,1
2.702126000,1,0
2.702230000,1,1
2.702334000,1,0
2.702438000,1,1
2.702646000,1,0
2.703062000,1,1
2.703166000,1,0
2.703686000,1,1
2.703790000,1,0
2.703894000,1,1
2.703998000,1,0
2.704102000,1,1
2.704206000,1,0
2.704310000,1,1
2.704518000,1,0
2.704934000,1,1
2.705036000,1,0
2.705142000,1,1
2.705246000,1,0
2.705350000,1,1
2.705766000,1,0
2.705870000,1,1
2.706078000,1,0
2.706184000,1,1
2.706288000,1,0
2.706496000,1,1
2.706808000,1,0
2.706912000,1,1
2.707122000,1,0
2.707226000,1,1
2.707330000,1,0
2.707434000,1,1
2.707538000,1,0
2.707642000,1,1
2.707746000,1,0
2.707954000,1,1
2.708162000,1,0
2.708266000,1,1
2.708372000,1,0
2.708788000,1,1
2.709204000,1,0
2.709308000,1,1
2.709412000,1,0
2.709516000,1,1
2.709620000,1,0
2.710034000,1,1
2.710242000,1,0
2.710348000,1,1
2.710452000,1,0
2.710556000,1,1
2.710972000,1,0
2.711076000,1,1
2.711284000,1,0
2.711388000,1,1
2.711492000,1,0
2.712118000,1,1
2.712222000,1,0
2.712432000,1,1
2.712536000,1,0
2.712640000,1,1
2.712848000,1,0
2.713160000,1,1
2.713368000,1,0
2.713472000,1,1
2.713576000,1,0
2.713628000,0,0
2.713682000,0,1
2.713734000,1,1
